entity_id,canonical_name,passages,context_words,afinn_raw,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,context_afinn_per_100,context_anger_per_100,context_anticipation_per_100,context_disgust_per_100,context_fear_per_100,context_joy_per_100,context_sadness_per_100,context_surprise_per_100,context_trust_per_100
CHAR_001,Fyodor Pavlovich Karamazov,331,45654,-409.0,1011,1215,722,1119,932,976,712,1534,-0.895868927147676,2.2144828492574584,2.6613221185438296,1.5814605511017654,2.451044815350243,2.041442151837736,2.1378192491347967,1.5595566653524335,3.3600560739475185
CHAR_002,Dmitri Fyodorovich Karamazov,932,79034,-780.0,1689,2030,1195,1905,1529,1689,1258,2528,-0.9869170230533696,2.13705493838095,2.568514816408128,1.5120074904471492,2.4103550370726525,1.934610420831541,2.13705493838095,1.5917200192322294,3.198623377280664
CHAR_003,Ivan Fyodorovich Karamazov,514,47214,-374.0,1028,1238,799,1219,1006,1082,727,1611,-0.7921379251916805,2.1773202863557417,2.622103613335028,1.6922946583640446,2.581861312322616,2.130723937815054,2.2916931418647013,1.5397975176854322,3.4121235226839497
CHAR_004,Alexei Fyodorovich Karamazov,1025,88889,297.0,1675,2374,1349,2033,2081,2011,1384,3114,0.334124582344272,1.8843726445341944,2.6707466615666733,1.5176231029711214,2.287122141097324,2.341122073597408,2.262372172034785,1.5569980537524328,3.503245620942974
CHAR_005,Pavel Fyodorovich Smerdyakov,257,26832,-891.0,660,599,500,740,392,629,414,751,-3.320661896243292,2.459749552772809,2.2324090638044125,1.8634466308884916,2.7579010137149678,1.4609421586165774,2.344215861657722,1.542933810375671,2.798896839594514
CHAR_006,Agrafena Alexandrovna Svetlova,316,33645,-80.0,714,921,529,825,759,730,580,1050,-0.2377767870411651,2.122157824342399,2.737405260811413,1.5722990043097045,2.452073116362015,2.255907267053054,2.169713181750632,1.7238817060484473,3.120820329915292
CHAR_007,Katerina Ivanovna Verkhovtseva,203,26671,-38.0,681,751,471,741,611,652,474,959,-0.1424768475122792,2.5533350830490043,2.815792433729519,1.7659630310074614,2.7782985264894453,2.29087773236849,2.4446027520527918,1.7772112031794831,3.595665704323048
CHAR_008,Zosima,87,13398,42.0,260,401,191,325,365,339,218,683,0.3134796238244514,1.940588147484699,2.992984027466786,1.425585908344529,2.425735184355874,2.7242872070458275,2.530228392297358,1.6271085236602478,5.09777578743096
CHAR_009,Ilyusha Snegiryov,108,12329,25.0,204,266,158,257,232,287,156,444,0.2027739476032119,1.6546354124422094,2.157514802498175,1.2815313488522997,2.084516181361019,1.8817422337578067,2.327844918484873,1.2653094330440424,3.601265309433044
CHAR_010,Nikolai Krasotkin,152,13093,137.0,200,323,199,248,274,253,193,404,1.0463606507293974,1.5275337966852516,2.4669670816466818,1.5198961277018257,1.894141907889712,2.092721301458795,1.9323302528068436,1.4740701138012675,3.0856182693042085
CHAR_011,Pyotr Alexandrovich Miusov,70,7809,43.0,157,250,103,165,190,157,124,357,0.5506466897169932,2.0105007043155334,3.201434242540658,1.3189909079267512,2.1129466000768344,2.4330900243309004,2.0105007043155334,1.5879113843001664,4.57164809834806
CHAR_012,Pyotr Ilyich Perkhotin,29,4021,-6.0,89,120,57,84,82,69,74,114,-0.1492166127828898,2.2133797562795325,2.9843322556577965,1.4175578214374531,2.089032578960458,2.039293708032828,1.715991047003233,1.840338224322308,2.8351156428749067
CHAR_013,Madame Khokhlakov,81,8732,168.0,142,269,100,169,229,156,167,275,1.9239578561612465,1.6262024736601008,3.080622995877233,1.1452130096197892,1.935409986257444,2.6225377920293176,1.7865322950068714,1.912505726065048,3.1493357764544205
CHAR_014,Lise Khokhlakov,114,8534,144.0,156,248,129,209,211,198,150,291,1.687368174361378,1.8279821888914929,2.9060229669557067,1.5116006561987343,2.449027419732833,2.472463088821186,2.3201312397468947,1.757675181626435,3.4098898523552847
