passage_id,concept_id,concept_name,match_count,first_known_position,method
BK_P00009,CON_001,faith,1,9,curated lexical match
BK_P00010,CON_001,faith,1,10,curated lexical match
BK_P00015,CON_001,faith,1,15,curated lexical match
BK_P00016,CON_001,faith,1,16,curated lexical match
BK_P00026,CON_001,faith,1,26,curated lexical match
BK_P00034,CON_001,faith,1,34,curated lexical match
BK_P00037,CON_001,faith,6,37,curated lexical match
BK_P00041,CON_001,faith,8,41,curated lexical match
BK_P00042,CON_001,faith,3,42,curated lexical match
BK_P00045,CON_001,faith,1,45,curated lexical match
BK_P00048,CON_001,faith,2,48,curated lexical match
BK_P00051,CON_001,faith,1,51,curated lexical match
BK_P00052,CON_001,faith,2,52,curated lexical match
BK_P00060,CON_001,faith,1,60,curated lexical match
BK_P00076,CON_001,faith,1,76,curated lexical match
BK_P00111,CON_001,faith,2,111,curated lexical match
BK_P00114,CON_001,faith,7,114,curated lexical match
BK_P00116,CON_001,faith,2,116,curated lexical match
BK_P00132,CON_001,faith,2,132,curated lexical match
BK_P00137,CON_001,faith,2,137,curated lexical match
BK_P00140,CON_001,faith,1,140,curated lexical match
BK_P00141,CON_001,faith,1,141,curated lexical match
BK_P00143,CON_001,faith,1,143,curated lexical match
BK_P00144,CON_001,faith,1,144,curated lexical match
BK_P00149,CON_001,faith,1,149,curated lexical match
BK_P00159,CON_001,faith,5,159,curated lexical match
BK_P00161,CON_001,faith,2,161,curated lexical match
BK_P00163,CON_001,faith,2,163,curated lexical match
BK_P00164,CON_001,faith,1,164,curated lexical match
BK_P00169,CON_001,faith,1,169,curated lexical match
BK_P00185,CON_001,faith,7,185,curated lexical match
BK_P00190,CON_001,faith,1,190,curated lexical match
BK_P00197,CON_001,faith,1,197,curated lexical match
BK_P00219,CON_001,faith,2,219,curated lexical match
BK_P00220,CON_001,faith,1,220,curated lexical match
BK_P00221,CON_001,faith,1,221,curated lexical match
BK_P00225,CON_001,faith,1,225,curated lexical match
BK_P00226,CON_001,faith,2,226,curated lexical match
BK_P00227,CON_001,faith,2,227,curated lexical match
BK_P00229,CON_001,faith,1,229,curated lexical match
BK_P00230,CON_001,faith,2,230,curated lexical match
BK_P00232,CON_001,faith,2,232,curated lexical match
BK_P00233,CON_001,faith,1,233,curated lexical match
BK_P00241,CON_001,faith,1,241,curated lexical match
BK_P00267,CON_001,faith,1,267,curated lexical match
BK_P00269,CON_001,faith,1,269,curated lexical match
BK_P00271,CON_001,faith,1,271,curated lexical match
BK_P00274,CON_001,faith,3,274,curated lexical match
BK_P00276,CON_001,faith,1,276,curated lexical match
BK_P00278,CON_001,faith,4,278,curated lexical match
BK_P00285,CON_001,faith,2,285,curated lexical match
BK_P00299,CON_001,faith,4,299,curated lexical match
BK_P00303,CON_001,faith,1,303,curated lexical match
BK_P00307,CON_001,faith,1,307,curated lexical match
BK_P00309,CON_001,faith,1,309,curated lexical match
BK_P00311,CON_001,faith,2,311,curated lexical match
BK_P00315,CON_001,faith,1,315,curated lexical match
BK_P00316,CON_001,faith,1,316,curated lexical match
BK_P00323,CON_001,faith,2,323,curated lexical match
BK_P00332,CON_001,faith,1,332,curated lexical match
BK_P00333,CON_001,faith,1,333,curated lexical match
BK_P00334,CON_001,faith,1,334,curated lexical match
BK_P00338,CON_001,faith,1,338,curated lexical match
BK_P00360,CON_001,faith,1,360,curated lexical match
BK_P00361,CON_001,faith,1,361,curated lexical match
BK_P00365,CON_001,faith,1,365,curated lexical match
BK_P00407,CON_001,faith,1,407,curated lexical match
BK_P00445,CON_001,faith,1,445,curated lexical match
BK_P00479,CON_001,faith,1,479,curated lexical match
BK_P00486,CON_001,faith,2,486,curated lexical match
BK_P00491,CON_001,faith,3,491,curated lexical match
BK_P00493,CON_001,faith,1,493,curated lexical match
BK_P00496,CON_001,faith,1,496,curated lexical match
BK_P00512,CON_001,faith,2,512,curated lexical match
BK_P00515,CON_001,faith,1,515,curated lexical match
BK_P00540,CON_001,faith,1,540,curated lexical match
BK_P00542,CON_001,faith,1,542,curated lexical match
BK_P00543,CON_001,faith,1,543,curated lexical match
BK_P00544,CON_001,faith,1,544,curated lexical match
BK_P00546,CON_001,faith,3,546,curated lexical match
BK_P00548,CON_001,faith,1,548,curated lexical match
BK_P00574,CON_001,faith,1,574,curated lexical match
BK_P00575,CON_001,faith,1,575,curated lexical match
BK_P00589,CON_001,faith,4,589,curated lexical match
BK_P00591,CON_001,faith,2,591,curated lexical match
BK_P00616,CON_001,faith,1,616,curated lexical match
BK_P00627,CON_001,faith,1,627,curated lexical match
BK_P00628,CON_001,faith,2,628,curated lexical match
BK_P00638,CON_001,faith,2,638,curated lexical match
BK_P00655,CON_001,faith,1,655,curated lexical match
BK_P00672,CON_001,faith,2,672,curated lexical match
BK_P00675,CON_001,faith,1,675,curated lexical match
BK_P00682,CON_001,faith,1,682,curated lexical match
BK_P00685,CON_001,faith,2,685,curated lexical match
BK_P00698,CON_001,faith,5,698,curated lexical match
BK_P00700,CON_001,faith,1,700,curated lexical match
BK_P00704,CON_001,faith,6,704,curated lexical match
BK_P00706,CON_001,faith,1,706,curated lexical match
BK_P00707,CON_001,faith,1,707,curated lexical match
BK_P00708,CON_001,faith,1,708,curated lexical match
BK_P00709,CON_001,faith,1,709,curated lexical match
BK_P00711,CON_001,faith,4,711,curated lexical match
