assertion_id,subject_id,subject_name,predicate,object_id,object_name,directionality,confidence,validation_status,extraction_method,first_known_position,evidence_passage_id,epistemic_status,effective_predicate
A_a5ded3bcbce7,CHAR_001,Fyodor Pavlovich Karamazov,FAMILY,CHAR_004,Alexei Fyodorovich Karamazov,undirected_or_unknown,0.72,unreviewed,cue+cooccurrence rule,2,BK_P00002,machine-proposed,FAMILY
A_bd30fd3003a9,CHAR_001,Fyodor Pavlovich Karamazov,FAMILY,CHAR_002,Dmitri Fyodorovich Karamazov,undirected_or_unknown,0.72,unreviewed,cue+cooccurrence rule,3,BK_P00003,machine-proposed,FAMILY
A_ef945e133a1a,CHAR_001,Fyodor Pavlovich Karamazov,FAMILY,CHAR_003,Ivan Fyodorovich Karamazov,undirected_or_unknown,0.72,unreviewed,cue+cooccurrence rule,3,BK_P00003,machine-proposed,FAMILY
A_c8adf17d981d,CHAR_001,Fyodor Pavlovich Karamazov,FAMILY,CHAR_004,Alexei Fyodorovich Karamazov,undirected_or_unknown,0.72,unreviewed,cue+cooccurrence rule,3,BK_P00003,machine-proposed,FAMILY
A_b8f2e6e5ecc6,CHAR_001,Fyodor Pavlovich Karamazov,FAMILY,CHAR_011,Pyotr Alexandrovich Miusov,undirected_or_unknown,0.72,unreviewed,cue+cooccurrence rule,3,BK_P00003,machine-proposed,FAMILY
A_b2963adff060,CHAR_002,Dmitri Fyodorovich Karamazov,FAMILY,CHAR_003,Ivan Fyodorovich Karamazov,undirected_or_unknown,0.72,unreviewed,cue+cooccurrence rule,3,BK_P00003,machine-proposed,FAMILY
A_fb4b85633b15,CHAR_002,Dmitri Fyodorovich Karamazov,FAMILY,CHAR_004,Alexei Fyodorovich Karamazov,undirected_or_unknown,0.72,unreviewed,cue+cooccurrence rule,3,BK_P00003,machine-proposed,FAMILY
A_ddfc33f282ed,CHAR_002,Dmitri Fyodorovich Karamazov,FAMILY,CHAR_011,Pyotr Alexandrovich Miusov,undirected_or_unknown,0.72,unreviewed,cue+cooccurrence rule,3,BK_P00003,machine-proposed,FAMILY
A_cf0e96d0e947,CHAR_003,Ivan Fyodorovich Karamazov,FAMILY,CHAR_004,Alexei Fyodorovich Karamazov,undirected_or_unknown,0.72,unreviewed,cue+cooccurrence rule,3,BK_P00003,machine-proposed,FAMILY
A_2c19d5067595,CHAR_003,Ivan Fyodorovich Karamazov,FAMILY,CHAR_011,Pyotr Alexandrovich Miusov,undirected_or_unknown,0.72,unreviewed,cue+cooccurrence rule,3,BK_P00003,machine-proposed,FAMILY
A_2be788f2c1a1,CHAR_004,Alexei Fyodorovich Karamazov,FAMILY,CHAR_011,Pyotr Alexandrovich Miusov,undirected_or_unknown,0.72,unreviewed,cue+cooccurrence rule,3,BK_P00003,machine-proposed,FAMILY
A_8cc12c76fe48,CHAR_001,Fyodor Pavlovich Karamazov,ROMANTIC,CHAR_002,Dmitri Fyodorovich Karamazov,undirected_or_unknown,0.65,unreviewed,cue+cooccurrence rule,3,BK_P00003,machine-proposed,ROMANTIC
A_28dbffd7066f,CHAR_001,Fyodor Pavlovich Karamazov,ROMANTIC,CHAR_003,Ivan Fyodorovich Karamazov,undirected_or_unknown,0.65,unreviewed,cue+cooccurrence rule,3,BK_P00003,machine-proposed,ROMANTIC
A_13bb446601bc,CHAR_001,Fyodor Pavlovich Karamazov,ROMANTIC,CHAR_004,Alexei Fyodorovich Karamazov,undirected_or_unknown,0.65,unreviewed,cue+cooccurrence rule,3,BK_P00003,machine-proposed,ROMANTIC
A_7ce0b7aa0d6c,CHAR_001,Fyodor Pavlovich Karamazov,ROMANTIC,CHAR_011,Pyotr Alexandrovich Miusov,undirected_or_unknown,0.65,unreviewed,cue+cooccurrence rule,3,BK_P00003,machine-proposed,ROMANTIC
A_25b8be49c5e8,CHAR_002,Dmitri Fyodorovich Karamazov,ROMANTIC,CHAR_003,Ivan Fyodorovich Karamazov,undirected_or_unknown,0.65,unreviewed,cue+cooccurrence rule,3,BK_P00003,machine-proposed,ROMANTIC
A_f1b07e069612,CHAR_002,Dmitri Fyodorovich Karamazov,ROMANTIC,CHAR_004,Alexei Fyodorovich Karamazov,undirected_or_unknown,0.65,unreviewed,cue+cooccurrence rule,3,BK_P00003,machine-proposed,ROMANTIC
A_af549afe3e09,CHAR_002,Dmitri Fyodorovich Karamazov,ROMANTIC,CHAR_011,Pyotr Alexandrovich Miusov,undirected_or_unknown,0.65,unreviewed,cue+cooccurrence rule,3,BK_P00003,machine-proposed,ROMANTIC
A_f47ca9db586b,CHAR_003,Ivan Fyodorovich Karamazov,ROMANTIC,CHAR_004,Alexei Fyodorovich Karamazov,undirected_or_unknown,0.65,unreviewed,cue+cooccurrence rule,3,BK_P00003,machine-proposed,ROMANTIC
A_7a13f96e8110,CHAR_003,Ivan Fyodorovich Karamazov,ROMANTIC,CHAR_011,Pyotr Alexandrovich Miusov,undirected_or_unknown,0.65,unreviewed,cue+cooccurrence rule,3,BK_P00003,machine-proposed,ROMANTIC
A_bf20e399e728,CHAR_004,Alexei Fyodorovich Karamazov,ROMANTIC,CHAR_011,Pyotr Alexandrovich Miusov,undirected_or_unknown,0.65,unreviewed,cue+cooccurrence rule,3,BK_P00003,machine-proposed,ROMANTIC
A_70d20911e321,CHAR_001,Fyodor Pavlovich Karamazov,FAMILY,CHAR_002,Dmitri Fyodorovich Karamazov,undirected_or_unknown,0.72,unreviewed,cue+cooccurrence rule,4,BK_P00004,machine-proposed,FAMILY
